ticker,name,description,expense_ratio,sector,theme_tags,risk_level,AUM,performance_1yr,volatility,dividend_yield
ARKG,ARK Genomic Revolution ETF,"Focuses on companies involved in genomic sequencing, gene editing, and bioinformatics.",0.75,Healthcare,"Genomics, Biotechnology",High,2300,-5.20%,High,0.18%
ICLN,iShares Global Clean Energy ETF,"Targets global companies that produce energy from solar, wind, and other renewable sources.",0.42,Utilities,"Clean Energy, Renewables",Medium,6100,-15.40%,Medium,1.52%
BOTZ,Global X Robotics & Artificial Intelligence ETF,Invests in companies that could benefit from the increased adoption and utilization of robotics and artificial intelligence.,0.68,Technology,"Robotics, AI, Automation",High,2500,18.70%,High,0.25%
BUG,Global X Cybersecurity ETF,"Seeks to invest in companies providing cybersecurity solutions, including hardware, software, and services.",0.5,Technology,"Cybersecurity, Software",Medium,1200,22.10%,Medium,0.05%
PHO,Invesco Water Resources ETF,"Focuses on companies that create products designed to conserve and purify water for homes, businesses, and industries.",0.59,Utilities,"Water, Infrastructure",Low,1800,7.80%,Low,0.85%
CLOU,Global X Cloud Computing ETF,Invests in companies positioned to benefit from the increased adoption of cloud computing technology.,0.68,Technology,"Cloud Computing, Software",Medium,1100,15.30%,Medium,0.00%
LIT,Global X Lithium & Battery Tech ETF,"Tracks companies involved in the full lithium cycle, from mining and refining to battery production.",0.75,Basic Materials,"Lithium, Battery Technology, EVs",Medium,3000,-20.10%,High,0.55%
FINX,Global X FinTech ETF,"Targets companies providing financial technology, including mobile payments, peer-to-peer lending, and blockchain.",0.68,Financials,"FinTech, Digital Payments, Blockchain",Medium,700,10.50%,Medium,0.10%
DRIV,Global X Autonomous & Electric Vehicles ETF,"Invests in companies involved in the development of autonomous vehicles, electric vehicles, and related technologies.",0.68,Consumer Discretionary,"EVs, Autonomous Vehicles, Automotive Tech",High,1500,-8.90%,High,0.00%
KOMP,SPDR S&P Kensho New Economies Composite ETF,"Provides exposure to companies across various disruptive innovation themes, including AI, robotics, and clean energy.",0.2,Multi-Sector,"Innovation, Disruptive Tech",Medium,1000,14.10%,Medium,0.80%
AIQ,Global X Artificial Intelligence & Technology ETF,Holds a globally diversified basket of AI and big data companies.,0.68,Technology,"AI, Big Data, Software",High,900,25.50%,High,0.00%
ROBO,ROBO Global Robotics and Automation Index ETF,"Provides exposure to global robotics, automation, and artificial intelligence sectors.",0.95,Industrials,"Robotics, Automation, AI",High,2000,12.80%,High,0.20%
CIBR,First Trust NASDAQ Cybersecurity ETF,Tracks companies that are involved in the cybersecurity industry.,0.6,Technology,Cybersecurity,Medium,4000,20.50%,Medium,0.00%
ARKK,ARK Innovation ETF,An actively managed ETF that invests in disruptive innovation across various sectors.,0.75,Multi-Sector,"Disruptive Innovation, Tech",High,8000,-10.00%,Very High,0.00%
